@relation 'TrainingData_g7-1-weka.filters.unsupervised.attribute.Remove-V-R8,12,14,38,53'

@attribute light_livingroom {off,on}
@attribute light_balcony {off,on}
@attribute audio_livingroom {off,on}
@attribute camera_livingroom {off,on}
@attribute class {OtherActivity,g7-1}

@data
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
off,off,off,off,OtherActivity
