@relation 'TrainingData_g1_1-weka.filters.unsupervised.attribute.Remove-V-R3,10,15,20'

@attribute light_bedroom {off,on}
@attribute current_TV_livingroom {off,standby,on}
@attribute current_AC_livingroom {off,standby,on}
@attribute class {OtherActivity,g1_1}

@data
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
on,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
on,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
on,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
off,on,standby,g1_1
