@relation 'TrainingData_g1-5-weka.filters.unsupervised.attribute.Remove-V-R7,10,26-27,29,53'

@attribute light_hallway {off,on}
@attribute light_bathroom {off,on}
@attribute current_PC_bedroom {off,standby,on}
@attribute current_monitor_bedroom {off,standby,on}
@attribute current_speaker_bedroom {off,standby,on}
@attribute class {OtherActivity,g1-5}

@data
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,on,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
off,off,standby,standby,off,OtherActivity
