@relation 'TrainingData_g1_9-weka.filters.unsupervised.attribute.Remove-V-R8,13-14,20'

@attribute current_lamp_bedroom {off,standby,on}
@attribute current_microwave_kitchen {off,standby,on}
@attribute current_AC_bedroom {off,standby,on}
@attribute class {OtherActivity,g1_9}

@data
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
on,standby,off,g1_9
on,standby,off,g1_9
on,standby,off,g1_9
on,standby,off,g1_9
on,standby,off,g1_9
on,standby,off,g1_9
on,standby,off,g1_9
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,off,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
on,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,off,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
on,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,on,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
