@relation 'TrainingData_g1_8-weka.filters.unsupervised.attribute.Remove-V-R4,13,17,19-20'

@attribute light_kitchen {off,on}
@attribute current_microwave_kitchen {off,standby,on}
@attribute camera_livingroom {off,on}
@attribute camera_kitchen {off,on}
@attribute class {OtherActivity,g1_8}

@data
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
on,standby,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
on,standby,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
on,standby,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,off,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,off,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
off,standby,off,off,OtherActivity
on,standby,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
on,on,off,on,g1_8
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
off,standby,on,off,OtherActivity
