@relation 'TrainingData_g2_8-weka.filters.unsupervised.attribute.Remove-V-R8,13-14,20'

@attribute current_lamp_bedroom {off,standby,on}
@attribute current_microwave_kitchen {off,standby,on}
@attribute current_AC_bedroom {off,standby,on}
@attribute class {OtherActivity,g2_8}

@data
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
on,standby,off,g2_8
on,standby,off,g2_8
on,standby,off,g2_8
on,standby,off,g2_8
on,standby,off,g2_8
on,standby,off,g2_8
on,standby,off,g2_8
on,standby,off,g2_8
on,standby,off,g2_8
on,standby,off,g2_8
on,standby,off,g2_8
on,standby,off,g2_8
on,standby,off,g2_8
on,standby,off,g2_8
on,standby,off,g2_8
on,standby,off,g2_8
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
off,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
on,standby,standby,OtherActivity
